gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
42200123,1610612751,BKN,Nets,29,61,9,23,15,16,6,19,25,18,3,2,4,10,82,6.0,3.0,97.0
42200123,1610612755,PHI,76ers,30,62,9,24,7,10,9,22,31,11,1,2,10,12,76,-6.0,3.0,102.0
22200279,1610612763,MEM,Grizzlies,17,27,8,13,2,3,5,10,15,9,1,1,4,6,44,19.0,1.0,132.0
22200279,1610612740,NOP,Pelicans,7,21,2,10,9,9,2,5,7,6,4,1,3,4,25,-19.0,1.0,111.0
22200279,1610612740,NOP,Pelicans,15,39,3,14,15,17,4,16,20,10,4,3,6,8,48,-20.0,2.0,111.0
22200279,1610612763,MEM,Grizzlies,26,52,13,25,3,5,9,16,25,14,2,1,5,11,68,20.0,2.0,132.0
22200279,1610612740,NOP,Pelicans,25,59,8,21,19,22,5,21,26,20,5,3,11,18,77,-29.0,3.0,111.0
22200279,1610612763,MEM,Grizzlies,37,68,15,31,17,23,10,24,34,20,3,2,8,15,106,29.0,3.0,132.0
1522200031,1610612757,POR,Trail Blazers,3,14,0,4,3,6,3,9,12,1,0,1,7,1,9,-15.0,1.0,88.0
1522200031,1610612752,NYK,Knicks,9,22,5,13,1,2,2,10,12,6,5,2,1,5,24,15.0,1.0,77.0
1522200031,1610612752,NYK,Knicks,13,39,6,22,4,10,5,14,19,8,6,2,4,9,36,-1.0,2.0,77.0
1522200031,1610612757,POR,Trail Blazers,12,31,4,12,9,14,5,21,26,6,1,2,8,7,37,1.0,2.0,88.0
1522200031,1610612752,NYK,Knicks,22,58,9,31,4,10,7,20,27,14,8,2,8,14,57,-2.0,3.0,77.0
1522200031,1610612757,POR,Trail Blazers,20,47,7,19,12,17,6,28,34,10,4,5,13,8,59,2.0,3.0,88.0
22201154,1610612739,CLE,Cavaliers,17,23,6,8,7,8,1,7,8,12,0,2,1,5,47,5.0,1.0,116.0
22201154,1610612752,NYK,Knicks,15,24,7,12,5,6,2,3,5,6,1,1,1,5,42,-5.0,1.0,135.0
22201154,1610612739,CLE,Cavaliers,27,46,11,18,7,8,2,11,13,19,0,4,4,10,72,-10.0,2.0,116.0
22201154,1610612752,NYK,Knicks,31,49,13,21,7,11,8,11,19,14,2,2,3,6,82,10.0,2.0,135.0
22201154,1610612739,CLE,Cavaliers,39,67,15,29,9,11,3,21,24,28,0,7,7,16,102,-8.0,3.0,116.0
22201154,1610612752,NYK,Knicks,41,76,15,29,13,19,16,19,35,20,4,3,4,9,110,8.0,3.0,135.0
22200571,1610612750,MIN,Timberwolves,9,18,3,5,8,11,1,8,9,4,3,1,4,7,29,5.0,1.0,113.0
22200571,1610612757,POR,Trail Blazers,8,18,2,8,6,9,1,8,9,6,3,1,5,5,24,-5.0,1.0,106.0
22200571,1610612750,MIN,Timberwolves,21,40,6,11,12,15,4,12,16,13,7,3,8,14,60,7.0,2.0,113.0
22200571,1610612757,POR,Trail Blazers,17,34,5,14,14,19,3,13,16,11,7,2,11,10,53,-7.0,2.0,106.0
22200571,1610612750,MIN,Timberwolves,30,60,8,18,21,28,6,16,22,20,8,3,10,23,89,4.0,3.0,113.0
22200571,1610612757,POR,Trail Blazers,26,51,7,19,26,34,7,22,29,16,7,6,15,21,85,-4.0,3.0,106.0
22200141,1610612761,TOR,Raptors,8,26,3,11,2,4,3,8,11,8,3,5,1,4,21,-9.0,1.0,113.0
22200141,1610612741,CHI,Bulls,12,25,3,7,3,3,5,13,18,8,0,4,3,5,30,9.0,1.0,104.0
22200141,1610612741,CHI,Bulls,19,41,6,15,5,7,7,16,23,13,1,5,9,11,49,-6.0,2.0,104.0
22200141,1610612761,TOR,Raptors,21,48,7,20,6,10,8,16,24,16,6,6,3,8,55,6.0,2.0,113.0
22200141,1610612741,CHI,Bulls,31,69,12,29,8,10,14,22,36,20,4,5,13,18,82,-1.0,3.0,104.0
22200141,1610612761,TOR,Raptors,31,70,7,26,14,19,12,21,33,22,8,8,8,13,83,1.0,3.0,113.0
22200901,1610612744,GSW,Warriors,8,19,4,10,6,8,2,12,14,5,0,1,4,4,26,0.0,1.0,116.0
22200901,1610612745,HOU,Rockets,9,28,3,12,5,5,6,9,15,7,2,0,0,4,26,0.0,1.0,101.0
22200901,1610612744,GSW,Warriors,20,39,14,27,12,14,2,24,26,15,2,1,8,12,66,17.0,2.0,116.0
22200901,1610612745,HOU,Rockets,17,50,4,17,11,13,9,17,26,12,5,0,4,10,49,-17.0,2.0,101.0
22200901,1610612744,GSW,Warriors,26,58,19,41,15,17,4,33,37,19,3,2,14,19,86,9.0,3.0,116.0
